0-0-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.4;0;0
0-0-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.06;0;0
0-0-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-0-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-0-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-0-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.87;0;0
0-1-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.1;0;0
0-1-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.07;0;0
0-1-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-1-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-1-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-1-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-2-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.4;0;0
0-2-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.13;0;0
0-2-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-2-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-2-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-2-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-3-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.4;0;0
0-3-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.13;0;0
0-3-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-3-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-3-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-3-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-4-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.5;0;0
0-4-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.13;0;0
0-4-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-4-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-4-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-4-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-5-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.4;0;0
0-5-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.13;0;0
0-5-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-5-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-5-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-5-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-6-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.4;0;0
0-6-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.12;0;0
0-6-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-6-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-6-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-6-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-7-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.4;0;0
0-7-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.11;0;0
0-7-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-7-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-7-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-7-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-8-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11;0;0
0-8-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.1;0;0
0-8-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-8-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-8-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-8-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-9-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.4;0;0
0-9-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.13;0;0
0-9-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-9-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-9-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-9-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-10-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.4;0;0
0-10-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.08;0;0
0-10-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-10-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-10-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-10-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-11-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11;0;0
0-11-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.07;0;0
0-11-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-11-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-11-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-11-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-12-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.5;0;0
0-12-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.13;0;0
0-12-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-12-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-12-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-12-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-13-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.5;0;0
0-13-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.07;0;0
0-13-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-13-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-13-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-13-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-14-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.1;0;0
0-14-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.13;0;0
0-14-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-14-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-14-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-14-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-15-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.4;0;0
0-15-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.13;0;0
0-15-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-15-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-15-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-15-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-16-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.4;0;0
0-16-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.07;0;0
0-16-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-16-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-16-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-16-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-17-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.4;0;0
0-17-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.1;0;0
0-17-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-17-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-17-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-17-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-18-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.1;0;0
0-18-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.12;0;0
0-18-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-18-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-18-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-18-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-19-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.5;0;0
0-19-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.07;0;0
0-19-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-19-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-19-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-19-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-20-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.4;0;0
0-20-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.07;0;0
0-20-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-20-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-20-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-20-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-21-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.1;0;0
0-21-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.07;0;0
0-21-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-21-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-21-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-21-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-22-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.5;0;0
0-22-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.06;0;0
0-22-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-22-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-22-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-22-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-23-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.5;0;0
0-23-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.08;0;0
0-23-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-23-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-23-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-23-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-24-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.4;0;0
0-24-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.07;0;0
0-24-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-24-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-24-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-24-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-25-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.5;0;0
0-25-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.06;0;0
0-25-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-25-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-25-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-25-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-26-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.4;0;0
0-26-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.13;0;0
0-26-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-26-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-26-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-26-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-27-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.1;0;0
0-27-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.07;0;0
0-27-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-27-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-27-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-27-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-28-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.4;0;0
0-28-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.12;0;0
0-28-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-28-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-28-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-28-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-29-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.5;0;0
0-29-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.06;0;0
0-29-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-29-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-29-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-29-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-30-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.4;0;0
0-30-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.07;0;0
0-30-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-30-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-30-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-30-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-31-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.4;0;0
0-31-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.13;0;0
0-31-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-31-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-31-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-31-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-32-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.5;0;0
0-32-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.07;0;0
0-32-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-32-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-32-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-32-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-33-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.1;0;0
0-33-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.07;0;0
0-33-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-33-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-33-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-33-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-34-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.4;0;0
0-34-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.12;0;0
0-34-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-34-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-34-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-34-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-35-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.1;0;0
0-35-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.13;0;0
0-35-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-35-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-35-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-35-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-36-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.5;0;0
0-36-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.11;0;0
0-36-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-36-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-36-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-36-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-37-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.5;0;0
0-37-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.07;0;0
0-37-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-37-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-37-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-37-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-38-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.5;0;0
0-38-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.06;0;0
0-38-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-38-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-38-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-38-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-39-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.4;0;0
0-39-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.08;0;0
0-39-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-39-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-39-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-39-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-40-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.4;0;0
0-40-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.08;0;0
0-40-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-40-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-40-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-40-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-41-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.4;0;0
0-41-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.07;0;0
0-41-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-41-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-41-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-41-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-42-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.4;0;0
0-42-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.07;0;0
0-42-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-42-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-42-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-42-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-43-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.4;0;0
0-43-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.06;0;0
0-43-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-43-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-43-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
0-43-0;Baseline;math_bench_test.go/BenchmarkMathUintLittleEndian;2.86;0;0
0-44-0;Baseline;math_bench_test.go/BenchmarkMathFloatBigEndian;11.4;0;0
0-44-0;Baseline;math_bench_test.go/BenchmarkMathFloatLittleEndian;9.12;0;0
0-44-0;Baseline;math_bench_test.go/BenchmarkMathIntBigEndian;4.77;0;0
0-44-0;Baseline;math_bench_test.go/BenchmarkMathIntLittleEndian;2.86;0;0
0-44-0;Baseline;math_bench_test.go/BenchmarkMathUintBigEndian;4.77;0;0
